TaxonID,A,B,C,Y
306537,1,0,2,1
243161,1,0,1,0
208964,1,1,2,2
272843,1,0,1,1
198214,1,1,1,1
99287,1,1,1,2
272944,1,0,1,0
264203,1,0,1,0
224914,1,0,2,2
182082,1,0,1,0
183190,1,0,1,0
204722,0,0,2,2
212717,1,0,1,0
227377,1,0,1,0
223283,1,1,2,1
167539,1,0,1,1
243275,1,0,1,1
265311,1,0,2,1
261594,2,0,2,13
272561,1,0,1,0
386585,1,1,1,1
224308,1,0,3,7
192222,1,0,0,0
247156,1,0,0,4
334380,0,0,2,0
431947,1,0,1,0
455632,1,0,2,6
335992,1,0,1,1
1140,0,0,0,2
246197,2,1,2,3
340047,1,0,4,1
482957,1,1,2,2
93061,2,0,2,3
278197,1,0,2,1
360106,1,0,1,1
312153,1,0,1,1
444178,1,0,1,1
452659,1,0,2,0
290338,1,1,1,1
483179,1,0,1,2
491915,1,1,2,0
306263,1,0,3,0
1597,1,0,2,2
505682,0,0,3,1
320483,1,0,0,0
557760,1,0,3,1
565575,0,0,2,1
272942,1,0,1,1
565050,1,0,1,1
521460,1,0,2,1
548476,1,0,1,1
521097,1,0,1,5
436113,1,0,3,1
519441,1,0,2,2
150340,1,1,2,1
568814,1,0,2,1
683837,2,0,2,1
62977,1,0,1,1
359391,1,0,2,2
413999,1,0,3,0
529507,1,1,1,0
360910,1,0,2,1
661410,1,0,2,2
680198,0,0,2,8
300852,0,0,1,3
665029,1,1,0,0
759914,1,0,2,1
553174,1,0,1,1
573066,1,1,2,1
515620,1,0,2,1
198628,1,1,1,0
550540,1,1,2,1
53442,1,0,0,0
563797,1,1,2,1
565655,1,0,1,1
557599,1,0,2,5
762948,1,0,1,2
643561,0,0,3,2
693973,1,1,1,3
871585,1,0,1,1
695562,1,0,1,2
83332,1,0,2,3
169963,1,0,1,2
218496,1,0,1,0
223926,1,1,2,1
243265,1,1,1,0
548479,2,0,1,1
565042,1,0,1,2
436717,1,0,1,3
936155,0,0,1,0
318586,1,0,2,2
331636,1,0,1,0
768492,1,1,1,1
